ID,Category,Series,HRC,Product Name,Product Code,Product Type,Flutes,Helix Angle,Coating,Material Compatibility,Application,Diameter Range,Image Path
ECONOMY-008,Economy Series,ECONOMY,58,4F Flat End Mill Rougher,4F Rougher,Roughing End Mill,4,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"Heavy Roughing, High Material Removal, Stock Removal",Ø4mm – Ø20mm,/assets/products/economy-4f-rougher.png
PREMIUM-001,Premium Series,PREMIUM,65,4F Standard Flat End Mill,4F FEM,Flat End Mill,4,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / High-Speed Steel / Die Steel,"High Hardness Machining, Precision Milling, Die & Mold Work",Ø0.5mm – Ø20mm,/assets/products/premium-4f-fem.png
PREMIUM-002,Premium Series,PREMIUM,65,2F Ball Nose End Mill,2F BN,Ball Nose End Mill,2,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / Die Steel,"Ultra-Hard 3D Contouring, Mirror Finishing, Complex Die Surfaces",Ø0.2mm – Ø20mm,/assets/products/premium-2f-bn.png
PREMIUM-003,Premium Series,PREMIUM,65,4F Ball Nose End Mill,4F BN,Ball Nose End Mill,4,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / Die Steel,"High-Speed Hard 3D Machining, Semi-Finishing, Production 3D Work",Ø0.4mm – Ø20mm,/assets/products/premium-4f-bn.png
PREMIUM-004,Premium Series,PREMIUM,65,4F Standard Radius End Mill,4F REM,Corner Radius End Mill,4,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / Die Steel,"Ultra-Hard Corner Radius Machining, Profile Milling, Die Work",Ø1mm – Ø20mm,/assets/products/premium-4f-rem.png
PREMIUM-005,Premium Series,PREMIUM,65,4F Long Neck Ribber Flat End Mill,4F LNFEM,Long Neck Flat End Mill,4,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / Die Steel,"Deep Hard Steel Rib Machining, Precision Die Work, Deep Cavities",Ø0.3mm – Ø6mm,/assets/products/premium-4f-lnfem.png
PREMIUM-006,Premium Series,PREMIUM,65,2F Long Neck Ribber Ball Nose End Mill,2F LNBN,Long Neck Ball Nose End Mill,2,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / Die Steel,"Deep Ultra-Hard 3D Contouring, Die Finishing, Mirror 3D Surfaces",Ø0.2mm – Ø6mm,/assets/products/premium-2f-lnbn.png
PREMIUM-007,Premium Series,PREMIUM,65,4F Long Neck Ribber Radius End Mill,4F LNRREM,Long Neck Radius End Mill,4,35°,ALTiSiN,H - Hardened Steel / S - Super Alloys / Die Steel,"Deep Ultra-Hard Corner Radius, Precision Profiling, Die Corners",Ø0.5mm – Ø6mm,/assets/products/premium-4f-lnrrem.png
ALU-001,ALU Series,ALU,65,2F Flat End Mill - Highly Polished,2ALE,Aluminum Flat End Mill,2,45°,Highly Polished,N - Aluminum / Non-Ferrous Metals / Plastics / Composites,"High-Speed Aluminum Machining, Mirror Finish, Non-Ferrous Metals",Ø1mm – Ø20mm,/assets/products/alu-2ale.png
ALU-002,ALU Series,ALU,65,3F Flat End Mill - Highly Polished,3ALE,Aluminum Flat End Mill,3,45°,Highly Polished,N - Aluminum / Non-Ferrous Metals / Plastics / Composites,"High-Speed Aluminum Milling, Increased Feed Rates, Production Runs",Ø1mm – Ø20mm,/assets/products/alu-3ale.png
ALU-003,ALU Series,ALU,65,2F Ball Nose End Mill - Highly Polished,2ALBN,Aluminum Ball Nose End Mill,2,45°,Highly Polished,N - Aluminum / Non-Ferrous Metals / Plastics,"3D Aluminum Contouring, Mold Finishing, Complex 3D Surfaces",Ø1mm – Ø20mm,/assets/products/alu-2albn.png
ALU-004,ALU Series,ALU,65,3F Rougher Flat End Mill - Highly Polished,3ALE Rougher,Aluminum Roughing End Mill,3,45°,Highly Polished,N - Aluminum / Non-Ferrous Metals / Plastics,"High-Speed Aluminum Roughing, Maximum MRR, Stock Removal",Ø4mm – Ø20mm,/assets/products/alu-3ale-rougher.png
